,SAS Contact,TA,Last Update, Interview Target,Investigate,Entity Name,Stakeholder Category,Stakeholder Group,Development Stage,Product Group,Products 1,Products 2,Products 3,Products 4,Products 5,Stakeholder Description,Stakeholder Public/Private,ID (Ticker or D&B ID),NAICS,Website,Headquarters City,Headquarters State,Headquarters Country,Phone Number,Email,Stakeholder Contact,Principal (CEO),Year Founded,Number of Employees,Parent Company,On Market,Product Name,SKU/ID,Notes,Product Category (OLD),Product Group (OLD)
,,,8/1/22,,,American Hemp Ventures,Processing & Manufacturing,Product Manufacturers,Products,Oil,Personal care,,,,,"American Hemp Ventures, Inc. (AMHV) is the world’s premier hemp company.",public,AMHV,"32,541,325",https://americanhemp.io/,Aurora,CO,US,-2549,John@americanhemp.io,720-909-8300,Mark Spoone,2007,8,,,,,,Personal care,Oil
,,,8/1/22,,Y,Bio Weave,NA,NA,NA,Primary (Line),Carpeting,,,,,,,,,(http://www.earthweave.com/),Dalton,,N/A,706-278-8200,,,,1996,,,,,,,Carpeting,Primary (line)
,,,8/2/22,,,Bob's Red Mill,Processing & Manufacturing,Plant breeders and seed companies,Products,Post-Extract,Plant-based Protein,,,,,Hemp seeds are one of nature's best sources for plant-based protein.,private,,311942,(https://www.bobsredmill.com/,Milwaukie,OR,US,800-349-2173,,,Bob Moore,1978,500+,,,,,,Plant-based Protein,Post-Extract
,,,8/2/22,,,Brick & Mortar Hemp Co.,Processing & Manufacturing,Product Manufacturers,Products,Hurds,Mortar,,,,,Brick and Mortar Hemp Co. carries a large variety of locally sourced hemp products.,private,-,"45,453,991",https://brickandmortarhemp.com/,,WI,US,920-226-3112,,,Jordon Wakefield,2020,1-20,,,,,,Mortar,Hurds
,,,8/4/22,,,Buffy,Processing & Manufacturing,Retail,Products,Hurds,Absorbent Bedding,,,,,"Designed for a lifetime of chill, our naturally breathable, mega-durable Hemp Linen is made from a special fiber",public,,"33,339",(https://buffy.co/),,DE,US,855-466-4812,hello@buffy.co,,Leo Wang,2017,8,,,,,,Absorbent Bedding,Hurds
,,,8/4/22,,,Bulk Hemp Warehouse,Processing & Manufacturing,Wholesale,Products,Primary (line),Fabric,,,,,"Offering Raw Bulk Hemp Materials and hempowering companies and people around the world! Get Hemp Ropes, Twines, Fabrics, Foods and so much more!",private,,"424,314,243",(https://bulkhempwarehouse.com/),Las Vegas,NV,US,805-410-4367,help@bulkhempwarehouse.com,,Tyler Hoff,2012,1-10,,,,,Carry other products such as hemp cordage,Fabric,Primary (line)
,Dr. Karl Haapala,Y,9/19/22,,,Columbia Hemp Trading Co.,Processing & Manufacturing,Wholesale,Markets,Oil,,,,,,"CHTC) is the leading supplier of hemp services, raw ingredients, and CBD products in the hemp industry.",private,,"42,499,424",(https://columbiahtc.com/),Corvallis,OR,US,541-321-6671,sales@columbiahtc.com,,Jacob Crabtree,2018,<25,,,,,,,Oil
,,,8/4/22,,,Country Chic Paint,Distribution,Retail,Products,Hurds,Chemical feedstock: Sealants,,,,,"Country Chic Paint products are environmentally-conscious, very easy to work with, and there's little to no prep work involved.",private,,"4,444,412",(https://www.countrychicpaint.com/),Duncan,BC,Canada,1-888-523-2360,hello@countrychicpaint.com,,Rosanne Korteland,2014,<25,,,,,,Sealants,Hurds
,,,8/4/22,,,Delilah Home,Processing & Manufacturing,Retail,Products,Hurds,Absorbent Bedding,,,,,Delilah Home is a 100% vegan-certified and organic home textile company.,private,,"31,321,313",(https://delilahhome.com/),Weddington,NC,US,877-470-7584,cs@deliahhome.com,,Michael Twer,2019,2-10,,,,,,Absorbent Bedding,Hurds
,,,8/8/22,,,Easy Waste Management,Processing & Manufacturing,Materials processors,Handling/Processing,Secondary,,,,,,Easy Waste Management are 100% committed to providing eco-friendly solutions to cannabis waste that meet the strict regulations of governing bodies.,private,,"562211,56",https://www.easycannabiswaste.com/,Sun Valley,CA,US,833-420-3279,,,Gary Altunyan,,2-10,,,,,,,Secondary
